18/01 12:43:01 INFO file.FileDatabase|infodb: database opened as /specific/fprivate/ml/tomerg1/git/tac-adx/AdX/aa-server-10.1.0.0/infodb
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table users
18/01 12:43:01 INFO common.BlockingViewerServer|viewer server started at *:4042
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_state
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_comingparticipants
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_comingsimulations
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_competitionparts
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_competitions
18/01 12:43:01 FINEST file.FileDatabase|infodb: loaded table localhost_competitionresults
18/01 10:43:01 INFO sim.Admin|adding manager for simulation type tac09aa
18/01 10:43:01 INFO server.TACTGateway|TACT Server started at *:6502
18/01 10:43:02 FINEST tact.TACTConnection|viewer-1: new connection from 127.0.0.1:50108
18/01 10:43:02 FINER common.BlockingViewerChannel|logged in admin as admin@viewer-1 from 127.0.0.1
18/01 10:43:04 FINER sim.Admin|the maxgames value is: -1 ?
18/01 10:43:04 INFO sim.Admin|created simulation 102
18/01 10:43:06 SEVERE tact.TACTConnection|admin@viewer-1: closed from other side
18/01 10:43:06 FINEST tact.TACTConnection|admin@viewer-1: connection closed from 127.0.0.1
18/01 10:43:07 FINEST tact.TACTConnection|viewer-2: new connection from 127.0.0.1:50113
18/01 10:43:07 FINER common.BlockingViewerChannel|logged in admin as admin@viewer-2 from 127.0.0.1
18/01 10:44:00 FINE util.$Stopwatch|Module execution: 115ms
18/01 10:44:00 FINE util.$Stopwatch|Interceptors creation: 1ms
18/01 10:44:00 FINE util.$Stopwatch|TypeListeners creation: 3ms
18/01 10:44:00 FINE util.$Stopwatch|Scopes creation: 3ms
18/01 10:44:00 FINE util.$Stopwatch|Converters creation: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Binding creation: 8ms
18/01 10:44:00 FINE util.$Stopwatch|Private environment creation: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Injector construction: 1ms
18/01 10:44:00 FINE util.$Stopwatch|Binding initialization: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Binding indexing: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Collecting injection requests: 0ms
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.props.generators.SimpleAdxQueryGenerator FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.users.generators.SimpleUserGenerator FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.publishers.generators.SimplePublisherGenerator FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.ads.properties.generators.SimpleAdTypeGenerator FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.devices.generators.SimpleDeviceGenerator FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class com.google.common.eventbus.EventBus FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.sim.SimpleAdxAuctioneer FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.auction.manager.AdxBidManagerImpl FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.auction.tracker.AdxSpendTrackerImpl FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.auction.tracker.AdxBidTrackerImpl FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE internal.BytecodeGen|Loading class tau.tac.adx.auction.SimpleAuctionManager FastClass with sun.misc.Launcher$AppClassLoader@138d107f
18/01 10:44:00 FINE util.$Stopwatch|Binding validation: 113ms
18/01 10:44:00 FINE util.$Stopwatch|Static validation: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Instance member validation: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Provider verification: 1ms
18/01 10:44:00 FINE util.$Stopwatch|Static member injection: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Instance injection: 0ms
18/01 10:44:00 FINE util.$Stopwatch|Preloading singletons: 2ms
18/01 10:44:00 FINE sim.Admin|Entering log for simulation 99
************************************************************
* Entering log for simulation 99
************************************************************


